order_id,product_id,quantity
1,86,4
2,43,1
2,23,3
3,22,1
4,46,4
4,75,1
4,63,2
5,15,1
5,3,5
6,38,2
6,68,5
6,22,2
7,13,3
8,43,4
8,63,3
8,70,3
9,63,3
9,47,4
9,2,3
10,91,3
10,67,5
11,15,3
11,88,5
12,82,1
12,19,4
12,29,2
13,64,1
13,32,5
14,90,4
14,47,2
14,96,1
15,49,1
16,81,5
16,58,5
17,34,3
18,51,5
18,54,3
19,25,1
19,75,5
20,44,5
20,16,4
20,59,5
21,37,1
21,2,4
22,19,4
22,88,2
22,67,3
23,72,2
23,39,4
23,37,1
24,2,4
24,6,2
25,76,1
25,7,4
26,1,4
26,46,1
27,33,2
28,37,5
28,86,5
29,12,3
30,94,2
31,75,1
31,38,2
32,61,3
33,87,4
34,52,1
34,34,3
35,40,2
35,73,4
35,87,3
36,18,2
36,33,2
36,54,5
37,39,3
38,39,5
39,60,5
39,24,4
39,56,1
40,68,4
41,41,5
41,88,3
41,60,3
42,60,4
42,53,4
43,72,1
44,12,2
44,79,3
45,75,5
46,17,5
46,70,5
47,7,4
47,17,4
48,1,4
48,98,5
48,59,1
49,8,3
50,14,3
50,77,1
50,38,5
51,89,3
51,8,1
52,75,5
52,95,1
52,90,2
53,19,5
53,95,4
53,18,2
54,82,2
54,39,3
54,93,1
55,80,2
55,15,1
56,20,5
57,67,1
58,27,1
59,4,5
59,57,4
60,16,3
61,62,2
61,31,5
62,79,4
62,85,5
63,56,2
64,3,2
64,19,2
64,22,5
65,90,5
65,26,4
65,62,3
66,86,1
66,76,4
67,86,3
67,51,4
68,14,4
68,54,4
68,19,1
69,59,1
69,73,4
70,75,3
71,83,5
72,6,3
72,18,4
73,59,3
73,2,2
73,46,5
74,27,3
74,91,5
74,50,5
75,23,2
76,84,5
76,44,4
77,18,3
77,98,3
77,51,1
78,62,4
78,61,5
78,85,2
79,91,5
79,100,5
79,34,2
80,42,5
80,75,3
80,75,5
81,9,1
81,4,2
82,13,1
83,87,4
83,42,2
84,31,1
84,23,4
84,97,4
85,8,5
86,15,1
86,96,1
87,98,3
87,78,1
88,42,1
89,58,4
89,18,5
89,72,2
90,33,4
91,87,3
91,29,2
92,21,4
92,68,2
92,12,5
93,81,1
94,5,2
95,47,4
96,70,1
96,44,2
96,88,5
97,25,2
97,74,4
98,46,3
98,80,5
98,18,1
99,55,4
99,10,5
100,17,5
101,13,1
101,64,2
102,77,5
103,3,2
103,38,3
104,91,3
104,9,2
105,10,5
105,74,2
106,79,5
106,40,4
106,80,1
107,90,1
107,75,4
107,34,1
108,44,4
109,26,3
109,98,1
110,27,5
111,43,1
111,31,4
111,10,5
112,90,1
