order_id,customer_id,order_date
1,422,2025-10-22
2,812,2025-03-06
3,180,2025-02-20
4,892,2025-07-20
5,700,2025-04-16
6,935,2025-10-05
7,238,2025-08-21
8,261,2025-08-09
9,683,2025-01-26
10,477,2025-05-22
11,560,2025-03-03
12,453,2025-06-19
13,307,2025-11-14
14,707,2025-05-15
15,866,2025-05-07
16,394,2025-08-04
17,243,2025-07-19
18,368,2025-10-10
19,717,2025-05-01
20,850,2025-11-13
21,282,2025-01-19
22,886,2025-11-25
23,763,2025-01-20
24,764,2025-08-27
25,926,2025-05-25
26,819,2025-04-20
27,822,2025-06-08
28,652,2025-04-20
29,257,2025-11-25
30,739,2025-11-22
31,859,2025-03-21
32,100,2025-11-21
33,41,2025-05-26
34,452,2025-01-19
35,374,2025-12-05
36,93,2025-05-11
37,766,2025-07-06
38,206,2025-03-26
39,553,2025-06-17
40,514,2025-05-27
41,169,2025-05-27
42,967,2025-08-26
43,303,2025-12-28
44,347,2025-02-15
45,987,2025-02-05
46,773,2025-04-28
47,693,2025-12-22
48,407,2025-09-12
49,93,2025-07-01
50,271,2025-09-04
51,466,2025-06-22
52,767,2025-11-09
53,599,2025-07-27
54,654,2025-06-04
55,692,2025-04-16
56,26,2025-10-18
57,336,2025-10-08
58,664,2025-02-21
59,844,2025-08-23
60,310,2025-11-14
61,120,2025-03-02
62,969,2025-01-10
63,505,2025-02-04
64,241,2025-09-05
65,398,2025-08-12
66,687,2025-12-23
67,969,2025-09-14
68,602,2025-12-24
69,159,2025-07-21
70,102,2025-08-20
71,418,2025-05-02
72,707,2025-06-07
73,455,2025-08-08
74,876,2025-06-04
75,703,2025-06-18
76,924,2025-11-12
77,63,2025-07-09
78,195,2025-02-28
79,844,2025-08-03
80,679,2025-04-21
81,655,2025-10-01
82,52,2025-06-08
83,129,2025-10-07
84,71,2025-09-07
85,601,2025-04-27
86,891,2025-04-11
87,793,2025-03-26
88,923,2025-10-01
89,284,2025-03-05
90,554,2025-05-26
91,179,2025-02-22
92,888,2025-01-05
93,16,2025-06-26
94,808,2025-04-19
95,332,2025-01-06
96,272,2025-01-05
97,760,2025-07-17
98,117,2025-12-03
99,488,2025-08-25
100,371,2025-09-19
101,112,2025-08-17
102,227,2025-10-02
103,745,2025-11-17
104,309,2025-08-21
105,988,2025-01-02
106,491,2025-07-14
107,703,2025-02-16
108,730,2025-08-03
109,921,2025-02-11
110,623,2025-03-03
